sr,clientName,gstin,clientType,senior,multiRegistration,member,turnover,papilioId,gstr9Status,gstr9cStatus,proposalStatus,targetDate,gstr9Arn,gstr9Date,gstr9cArn,gstr9cDate,mailSent,papilioUpdate,remarks
1,Artium Academy Private Limited - KA,29AAUCA5890K1ZP,Non CAS,Chandru,No,Sachin,0,,Filed,Filed,Pending,,,,,,No,Pending,
2,Artium Academy Private Limited - MH,27AAUCA5890K1ZT,Non CAS,Chandru,No,Sachin,0,,Filed,In Progress,Pending,,,,,,No,Pending,
3,Artium Academy Private Limited - TN,33AAUCA5890K1Z0,Non CAS,Chandru,No,Sachin,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
4,Catchpoint Systems Private Limited,29AAGCC2342G1ZT,Non CAS,Chandru,No,Sachin,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
5,Chainbrain Private Limited,33AAKCC0146L1ZR,CAS,Chandru,No,Nisarga G,476201000,,In Progress,In Progress,Pending,,,,,,No,Pending,
6,ERDAC Solutions Private Limited,29AAFCE3682E1ZJ,CAS,Chandru,No,Nisarga G,0,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
7,FSINV Global Services Private Limited,29AAGCF1565Q1ZY,CAS,Chandru,No,Guruprasad,92024442,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
8,Lila Games Private Limited,29AAECL4365L1Z0,CAS,Chandru,No,Siddaraju,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
9,Mitti Agricarbon India Private Limited MH,27AARCM2859B1Z8,CAS,Chandru,No,Nisarga G,38856741,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
10,Munchmart Technologies Private Limited,29AASCM3040R1ZN,CAS,Chandru,No,Nisarga G,40532547,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
11,ODDR Technologies Private Limited,27AAECO0983H1ZA,CAS,Chandru,No,Nisarga G,31481570,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
12,Rebright Partners India Private Limited,29AAKCR4610A1ZN,CAS,Chandru,No,Siddaraju,0,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
13,Scioteq Private Limited,29ABMCS5313C1ZC,CAS,Chandru,No,Siddaraju,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
14,Simerics Technology India Pvt Ltd,29AAXCS5861R1ZV,CAS,Chandru,No,Praveen Poojary,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
15,Starburst Data India Private Limited,29ABLCS4791F1ZR,CAS,Chandru,No,Sachin,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
16,Stueve Engineering India Private Limited,33ABDCS8506J1Z8,CAS,Chandru,No,Arun Kumar T,0,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
17,Tratak Consulting India LLP,29AAVFT4210C1Z4,CAS,Chandru,No,Siddaraju,0,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
18,Tri Electric Private Limited,33AAFCT0809C1ZW,CAS,Chandru,No,Arun Kumar T,0,,In Progress,In Progress,Pending,,,,,,No,Pending,
19,Useblitz India Private Limited,29AADCU3070G1ZB,CAS,Chandru,No,Sachin,25338961,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
20,Ystral India Private Limited,29AAACY6255G1Z1,CAS,Chandru,No,Praveen Poojary,0,,In Progress,Not Applicable,Pending,,,,,,No,Pending,
21,ZPE Systems India Private Limited,29AABCZ2988E1ZV,CAS,Chandru,No,Nisarga G,63872596,,In Progress,In Progress,Pending,,,,,,No,Pending,
38,LT APPAREL PRIVATE LIMITED,29AABCL5037A1ZV,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
39,Kiwi India Private Limited,29AAECK4432B1ZU,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
40,Datarynx Private Limited - Karnataka,29AAFCD6621C2ZU,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
41,Workspot Private Limited,36AACCW0543R1ZW,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
42,Spring ML India Development Center Private Limited,36ABACS1528B1ZU,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
43,Kristal Advisors Private Limited - Karnataka,29AAGCK2422D1ZU,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
44,Kristal Advisors Private Limited - Delhi,07AAGCK2422D1Z0,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
45,O2O Software Services Private Limited - Karnataka,29AACCO2717M1Z5,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
46,O2O Software Services Private Limited - Maharashtra,27AACCO2717M1Z9,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
47,Tambora Systems India Private Limited,29AATCS4060J1ZQ,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
48,Zucitech Software Solutions Private Limited,29AAACZ9280E1ZX,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
49,Geo Semiconductor (India) Private Limited,29AAFCG1230N1ZI,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
50,NITIN JAGANNATH DESHMUKH,27AAGPD1399F1ZS,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
51,Joyride Games Private Limited,29AAECJ9166B1ZE,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
52,MAGNETICCAP INDIA PRIVATE LIMITED,29AAOCM2197H1ZW,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
53,SUPPORT.COM INDIA PRIVATE LIMITED,29AAHCS3904R1ZN,,Neelima,No,Praveen Poojary,0,,Pending,Pending,Pending,,,,,,No,Pending,
54,XTO10X TECHNOLOGIES PRIVATE LIMITED,29AAACX2697R1Z9,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
55,Firside Ventures Investment Fund II,29AAATF7171K1ZB,,Neelima,No,Praveen Poojary,0,,Pending,Pending,Pending,,,,,,No,Pending,
56,Fireside Investment Advisory LLP,29AAFFF0042A2Z3,,Neelima,No,Praveen Poojary,0,,Pending,Pending,Pending,,,,,,No,Pending,
57,Boxseat Ventures Private Limited - Karnataka,29AAJCB8385R1ZH,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
58,Boxseat Ventures Private Limited - Maharashtra,27AAJCB8385R1ZL,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
59,Boxseat Ventures Private Limited - Punjab,03AAJCB8385R1ZV,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
60,Boxseat Ventures Private Limited - Tamil Nadu,33AAJCB8385R1ZS,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
61,Boxseat Ventures Private Limited - Rajasthan,08AAJCB8385R1ZL,,Neelima,No,Sandeep bhat,0,,Pending,Pending,Pending,,,,,,No,Pending,
62,Boxseat Ventures Private Limited - Haryana,06AAJCB8385R2ZO,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
63,Boxseat Ventures Private Limited - Telangana,36AAJCB8385R1ZM,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
64,Fireside Investment Advisory LLP - Gift City,24AAFFF0042A1ZE,,Neelima,No,Praveen Poojary,0,,Pending,Pending,Pending,,,,,,No,Pending,
65,AUBRANT DIGITAL INDIA PRIVATE LIMITED,36ABACA1983C1ZZ,,Neelima,No,Prajwala,0,,Pending,Pending,Pending,,,,,,No,Pending,
66,GLOBAL BYTE BRIDGE PRIVATE LIMITED,27AALCG2029B1ZY,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
67,BCM Management India Private Limited,36AAMCB3279K1Z6,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
68,AWAVE SEMICONDUCTOR INDIA PRIVATE LIMITED,29AAACO5915B1ZO,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
69,AWAVE SEMICONDUCTOR INDIA PRIVATE LIMITED,27AAACO5915B1ZS,,Neelima,No,Vinay kumar,0,,Pending,Pending,Pending,,,,,,No,Pending,
70,Arrowsight Private Limited,36AAXCA9421B1ZJ,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
71,The Chanakya University,29AAAJT3006F1ZA,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
72,Excelpoint Systems (India) Private Limited - KA,29AACCE0004D1ZE,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
73,Excelpoint Systems (India) Private Limited - DL,07AACCE0004D1ZK,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
74,Excelpoint Systems (India) Private Limited - MH,27AACCE0004D1ZI,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
75,GGWP India Private Limited,29AAICG7649A1ZF,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
76,Bhanuprakash V,29CBKPV0589A1ZA,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
77,Boxseat Ventures Private Limited - DL,07AAJCB8385R1ZN,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
78,Boxseat Ventures Private Limited - WB,19AAJCB8385R1ZI,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
79,Boxseat Ventures Private Limited - UP,09AAJCB8385R1ZJ,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
80,E6Data Computing Private Limited,29AAICE0484D1ZO,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
81,Vervent Technologies Private Limited-DTA,29AAKCV1283B1ZA,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
82,Vervent Technologies Private Limited-SEZ,29AAKCV1283B2Z9,,Neelima,No,Sachin,0,,Pending,Pending,Pending,,,,,,No,Pending,
83,Tricentis India Pvt Ltd,27AAGCT1444E1ZJ,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
84,Ennoventure Technologies Pvt Ltd,29AAFCE8047H1ZC,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
85,Alphonso Labs Private Limited,29AAPCA8040E1ZJ,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
86,Reflektive Labs Pvt Ltd,29AAICR5084N1ZK,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
87,Mobilizar Technologies Private Limited - Karnataka,29AAKCM2075Q1ZO,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
88,Mobilizar Technologies Private Limited - Mumbai,27AAKCM2075Q1ZS,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
89,Illig India Private Limited,29AADCI4680A1ZP,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
90,iD Fresh Foods - Karnataka,29AAICM3930G1ZD,,Vishwas,No,,0,,Pending,Pending,Pending,,,,,,No,Pending,
